bank_capital bank_loans bank_debts consumer_capital company_capital market_capital total_capital
191 1.09424e+07 8.23923e+06 259839 5.47763e+06 3.01025e+06 59598.5 1.94899e+07
192 1.10643e+07 8.23923e+06 259839 5.47762e+06 3.01025e+06 59613.3 1.96118e+07
193 1.11859e+07 8.23923e+06 259839 5.47761e+06 3.01025e+06 59628 1.97334e+07
194 1.13071e+07 8.23923e+06 259839 5.47759e+06 3.01025e+06 59642.4 1.98546e+07
195 1.1428e+07 8.23923e+06 259839 5.47758e+06 3.01025e+06 59656.7 1.99755e+07
196 1.15485e+07 8.23923e+06 259839 5.47757e+06 3.01025e+06 59670.8 2.0096e+07
197 1.16686e+07 8.23923e+06 259839 5.47756e+06 3.01024e+06 59684.8 2.02161e+07
198 1.17884e+07 8.23923e+06 259839 5.47754e+06 3.01024e+06 59698.6 2.03359e+07
199 1.19079e+07 8.23923e+06 259839 5.47753e+06 3.01024e+06 59712.2 2.04554e+07
200 1.20269e+07 8.23923e+06 259839 5.47752e+06 3.01024e+06 59725.7 2.05744e+07
201 1.21456e+07 8.23923e+06 259839 5.47751e+06 3.01024e+06 59739 2.06931e+07
202 1.22639e+07 8.23923e+06 259839 5.4775e+06 3.01024e+06 59752.2 2.08114e+07
203 1.23819e+07 8.23923e+06 259839 5.47748e+06 3.01024e+06 59765.2 2.09293e+07
204 1.24994e+07 8.23923e+06 259839 5.47747e+06 3.01023e+06 59778.1 2.10469e+07
205 1.26166e+07 8.23923e+06 259839 5.47746e+06 3.01023e+06 59790.8 2.11641e+07
206 1.27334e+07 8.23923e+06 259839 5.47745e+06 3.01023e+06 59803.4 2.12808e+07
207 1.28497e+07 8.23923e+06 259839 5.47744e+06 3.01023e+06 59815.8 2.13972e+07
208 1.29657e+07 8.23923e+06 259839 5.47743e+06 3.01023e+06 59828.1 2.15132e+07
209 1.30814e+07 8.23923e+06 259839 5.47742e+06 3.01023e+06 59840.3 2.16288e+07
210 1.31966e+07 8.23923e+06 259839 5.47741e+06 3.01022e+06 59852.3 2.17441e+07
211 1.33114e+07 8.23923e+06 259839 5.4774e+06 3.01022e+06 59864.2 2.18589e+07
212 1.34258e+07 8.23923e+06 259839 5.47739e+06 3.01022e+06 59876 2.19733e+07
213 1.35398e+07 8.23923e+06 259839 5.47738e+06 3.01022e+06 59887.6 2.20873e+07
214 1.36534e+07 8.23923e+06 259839 5.47737e+06 3.01022e+06 59899.1 2.22009e+07
215 1.37666e+07 8.23923e+06 259839 5.47736e+06 3.01022e+06 59910.5 2.23141e+07
216 1.38794e+07 8.23923e+06 259839 5.47735e+06 3.01022e+06 59921.8 2.24269e+07
217 1.39918e+07 8.23923e+06 259839 5.47734e+06 3.01022e+06 59932.9 2.25393e+07
218 1.41038e+07 8.23923e+06 259839 5.47733e+06 3.01021e+06 59943.9 2.26513e+07
219 1.42153e+07 8.23923e+06 259839 5.47732e+06 3.01021e+06 59954.8 2.27628e+07
220 1.43265e+07 8.23923e+06 259839 5.47731e+06 3.01021e+06 59965.6 2.28739e+07
221 1.44372e+07 8.23923e+06 259839 5.4773e+06 3.01021e+06 59976.3 2.29847e+07
222 1.45475e+07 8.23923e+06 259839 5.47729e+06 3.01021e+06 59986.8 2.3095e+07
223 1.46574e+07 8.23923e+06 259839 5.47728e+06 3.01021e+06 59997.3 2.32049e+07
224 1.47669e+07 8.23923e+06 259839 5.47727e+06 3.01021e+06 60007.6 2.33143e+07
225 1.48759e+07 8.23923e+06 259839 5.47726e+06 3.01021e+06 60017.8 2.34234e+07
226 1.49845e+07 8.23923e+06 259839 5.47725e+06 3.0102e+06 60028 2.3532e+07
227 1.50927e+07 8.23923e+06 259839 5.47724e+06 3.0102e+06 60038 2.36402e+07
228 1.52005e+07 8.23923e+06 259839 5.47724e+06 3.0102e+06 60047.9 2.3748e+07
229 1.53078e+07 8.23923e+06 259839 5.47723e+06 3.0102e+06 60057.7 2.38553e+07
230 1.54147e+07 8.23923e+06 259839 5.47722e+06 3.0102e+06 60067.4 2.39622e+07
231 1.55212e+07 8.23923e+06 259839 5.47721e+06 3.0102e+06 60077 2.40687e+07
232 1.56273e+07 8.23923e+06 259839 5.4772e+06 3.0102e+06 60086.5 2.41747e+07
233 1.57329e+07 8.23923e+06 259839 5.47719e+06 3.0102e+06 60096 2.42804e+07
234 1.58381e+07 8.23923e+06 259839 5.47718e+06 3.01019e+06 60105.3 2.43856e+07
235 1.59428e+07 8.23923e+06 259839 5.47718e+06 3.01019e+06 60114.5 2.44903e+07
236 1.60472e+07 8.23923e+06 259839 5.47717e+06 3.01019e+06 60123.6 2.45946e+07
237 1.6151e+07 8.23923e+06 259839 5.47716e+06 3.01019e+06 60132.7 2.46985e+07
238 1.62545e+07 8.23923e+06 259839 5.47715e+06 3.01019e+06 60141.6 2.4802e+07
239 1.63575e+07 8.23923e+06 259839 5.47714e+06 3.01019e+06 60150.5 2.4905e+07
240 1.64601e+07 8.23923e+06 259839 5.47714e+06 3.01019e+06 60159.3 2.50076e+07
241 1.65622e+07 8.23923e+06 259839 5.47713e+06 3.01019e+06 60167.9 2.51097e+07
242 1.66639e+07 8.23923e+06 259839 5.47712e+06 3.01019e+06 60176.5 2.52114e+07
243 1.67652e+07 8.23923e+06 259839 5.47711e+06 3.01019e+06 60185 2.53127e+07
244 1.6866e+07 8.23923e+06 259839 5.47711e+06 3.01018e+06 60193.5 2.54135e+07
245 1.69664e+07 8.23923e+06 259839 5.4771e+06 3.01018e+06 60201.8 2.55139e+07
246 1.70664e+07 8.23923e+06 259839 5.47709e+06 3.01018e+06 60210.1 2.56139e+07
247 1.71659e+07 8.23923e+06 259839 5.47708e+06 3.01018e+06 60218.3 2.57134e+07
248 1.7265e+07 8.23923e+06 259839 5.47708e+06 3.01018e+06 60226.4 2.58125e+07
249 1.73636e+07 8.23923e+06 259839 5.47707e+06 3.01018e+06 60234.4 2.59111e+07
250 1.74618e+07 8.23923e+06 259839 5.47706e+06 3.01018e+06 60242.3 2.60093e+07
251 1.75596e+07 8.23923e+06 259839 5.47706e+06 3.01018e+06 60250.2 2.61071e+07
252 1.76569e+07 8.23923e+06 259839 5.47705e+06 3.01018e+06 60258 2.62044e+07
253 1.77538e+07 8.23923e+06 259839 5.47704e+06 3.01018e+06 60265.7 2.63012e+07
254 1.78502e+07 8.23923e+06 259839 5.47704e+06 3.01017e+06 60273.4 2.63977e+07
255 1.79462e+07 8.23923e+06 259839 5.47703e+06 3.01017e+06 60280.9 2.64937e+07
256 1.80418e+07 8.23923e+06 259839 5.47702e+06 3.01017e+06 60288.4 2.65892e+07
257 1.81369e+07 8.23923e+06 259839 5.47702e+06 3.01017e+06 60295.9 2.66844e+07
258 1.82316e+07 8.23923e+06 259839 5.47701e+06 3.01017e+06 60303.2 2.6779e+07
259 1.83258e+07 8.23923e+06 259839 5.477e+06 3.01017e+06 60310.5 2.68733e+07
260 1.84196e+07 8.23923e+06 259839 5.477e+06 3.01017e+06 60317.7 2.69671e+07
261 1.8513e+07 8.23923e+06 259839 5.47699e+06 3.01017e+06 60324.9 2.70605e+07
262 1.86059e+07 8.23923e+06 259839 5.47698e+06 3.01017e+06 60332 2.71534e+07
263 1.86984e+07 8.23923e+06 259839 5.47698e+06 3.01017e+06 60339 2.72459e+07
264 1.87904e+07 8.23923e+06 259839 5.47697e+06 3.01017e+06 60346 2.73379e+07
265 1.8882e+07 8.23923e+06 259839 5.47697e+06 3.01017e+06 60352.8 2.74295e+07
266 1.89732e+07 8.23923e+06 259839 5.47696e+06 3.01016e+06 60359.7 2.75207e+07
267 1.9064e+07 8.23923e+06 259839 5.47695e+06 3.01016e+06 60366.4 2.76114e+07
268 1.91543e+07 8.23923e+06 259839 5.47695e+06 3.01016e+06 60373.1 2.77017e+07
269 1.92441e+07 8.23923e+06 259839 5.47694e+06 3.01016e+06 60379.8 2.77916e+07
270 1.93336e+07 8.23923e+06 259839 5.47694e+06 3.01016e+06 60386.3 2.7881e+07
271 1.94226e+07 8.23923e+06 259839 5.47693e+06 3.01016e+06 60392.8 2.797e+07
272 1.95111e+07 8.23923e+06 259839 5.47693e+06 3.01016e+06 60399.3 2.80586e+07
273 1.95993e+07 8.23923e+06 259839 5.47692e+06 3.01016e+06 60405.7 2.81467e+07
274 1.9687e+07 8.23923e+06 259839 5.47691e+06 3.01016e+06 60412 2.82344e+07
275 1.97742e+07 8.23923e+06 259839 5.47691e+06 3.01016e+06 60418.3 2.83217e+07
276 1.98611e+07 8.23923e+06 259839 5.4769e+06 3.01016e+06 60424.5 2.84085e+07
277 1.99475e+07 8.23923e+06 259839 5.4769e+06 3.01016e+06 60430.7 2.84949e+07
278 2.00334e+07 8.23923e+06 259839 5.47689e+06 3.01016e+06 60436.8 2.85809e+07
279 2.0119e+07 8.23923e+06 259839 5.47689e+06 3.01015e+06 60442.9 2.86665e+07
280 2.02041e+07 8.23923e+06 259839 5.47688e+06 3.01015e+06 60448.9 2.87516e+07
281 2.02888e+07 8.23923e+06 259839 5.47688e+06 3.01015e+06 60454.8 2.88363e+07
282 2.03731e+07 8.23923e+06 259839 5.47687e+06 3.01015e+06 60460.7 2.89205e+07
283 2.04569e+07 8.23923e+06 259839 5.47687e+06 3.01015e+06 60466.5 2.90044e+07
284 2.05403e+07 8.23923e+06 259839 5.47686e+06 3.01015e+06 60472.3 2.90878e+07
285 2.06233e+07 8.23923e+06 259839 5.47686e+06 3.01015e+06 60478.1 2.91708e+07
286 2.07059e+07 8.23923e+06 259839 5.47685e+06 3.01015e+06 60483.7 2.92533e+07
287 2.0788e+07 8.23923e+06 259839 5.47685e+06 3.01015e+06 60489.4 2.93355e+07
288 2.08697e+07 8.23923e+06 259839 5.47684e+06 3.01015e+06 60495 2.94172e+07
289 2.0951e+07 8.23923e+06 259839 5.47684e+06 3.01015e+06 60500.5 2.94985e+07
