#time1 gdp2 growth3 demand4 wages5 price6 employed7 company_capital8 consumer_capital9 interest_rate10 investments11 market_capital12 bank_capital13 total_capital14
926 14744.5 0.00210034 1487.89 15762.2 3721.8 824 5.32249e+07 2.39322e+07 285 7.19052e+06 544494 -2.13324e+08 -1.36313e+08
925 14713.6 0.00216468 1487.89 15533.5 3696.2 824 5.27485e+07 2.37186e+07 277.5 7.11888e+06 538478 -2.11461e+08 -1.35118e+08
924 14681.8 0.0021563 1487.89 15321.6 3672.21 824 5.22563e+07 2.35477e+07 285 7.05065e+06 530809 -2.09564e+08 -1.33904e+08
923 14650.2 0.00209934 1487.89 15147.7 3647.27 824 5.18158e+07 2.33143e+07 277.5 6.98452e+06 530024 -2.07734e+08 -1.3273e+08
922 14619.5 0.00214657 1487.89 15112.7 3623.16 824 5.13475e+07 2.31261e+07 285 6.91662e+06 525149 -2.05871e+08 -1.31537e+08
921 14588.2 0.00235257 1487.89 14941.2 3598.57 824 5.09223e+07 2.28867e+07 277.5 6.84808e+06 519381 -2.04072e+08 -1.30384e+08
920 14554 0.00202328 1487.89 14909.9 3575.56 824 5.04552e+07 2.27141e+07 285 6.78284e+06 516656 -2.02242e+08 -1.29211e+08
919 14524.6 0.00209318 1487.89 14871.8 3550.99 824 4.99245e+07 2.259e+07 277.5 6.71492e+06 508492 -2.00476e+08 -1.2808e+08
918 14494.2 0.0021432 1487.89 14837.7 3527.42 824 4.95407e+07 2.23467e+07 285 6.65271e+06 507377 -1.98678e+08 -1.26928e+08
917 14463.2 0.00202738 1487.89 14669.8 3503.36 824 4.91254e+07 2.21169e+07 277.5 6.58632e+06 503122 -1.96942e+08 -1.25816e+08
916 14434 0.00218798 1487.89 14636.3 3480.12 824 4.86853e+07 2.19382e+07 285 6.52174e+06 494904 -1.95176e+08 -1.24684e+08
915 14402.5 0.00201288 1487.89 14471.1 3456.5 824 4.82639e+07 2.17331e+07 277.5 6.46019e+06 494610 -1.93471e+08 -1.23591e+08
914 14373.5 0.00214451 1487.89 14437.5 3433.46 824 4.77914e+07 2.15939e+07 285 6.39654e+06 486637 -1.91736e+08 -1.22479e+08
913 14342.8 0.00237725 1487.89 14273.9 3410 824 4.73748e+07 2.13947e+07 277.5 6.33577e+06 484137 -1.90061e+08 -1.21406e+08
912 14308.8 0.00218081 1487.89 14244.3 3388.3 824 4.69533e+07 2.1217e+07 285 6.27514e+06 481313 -1.88356e+08 -1.20315e+08
911 14277.6 0.00219936 1487.89 14209.6 3365.27 824 4.65682e+07 2.09921e+07 277.5 6.21228e+06 476367 -1.86711e+08 -1.1926e+08
910 14246.3 0.00206 1487.89 14180.2 3343.5 824 4.61203e+07 2.08542e+07 285 6.15204e+06 470257 -1.85036e+08 -1.18187e+08
909 14217 0.00174774 1487.89 14020.2 3320.42 824 4.57065e+07 2.0672e+07 277.5 6.09297e+06 467986 -1.8342e+08 -1.17152e+08
908 14192.2 0.00140488 1487.89 13983.8 3297.21 825 4.52404e+07 2.05595e+07 292.5 6.03389e+06 462734 -1.81775e+08 -1.161e+08
907 14172.3 0.002814 1487.89 13813.9 3271.56 829 4.4796e+07 2.04169e+07 277.5 5.97387e+06 459987 -1.80189e+08 -1.15085e+08
906 14132.5 0.00143573 1487.89 13792.4 3252.1 826 4.441e+07 2.02337e+07 292.5 5.91558e+06 455398 -1.78532e+08 -1.14026e+08
905 14112.3 0.00179801 1487.89 13608.3 3226.35 829 4.39699e+07 2.00805e+07 285 5.85582e+06 451411 -1.76974e+08 -1.1303e+08
904 14086.9 0.00224643 1487.89 13522.9 3203.15 831 4.35333e+07 1.99591e+07 292.5 5.79769e+06 445080 -1.75347e+08 -1.11992e+08
903 14055.4 0.00219612 1487.89 13331.7 3180.66 831 4.31755e+07 1.97348e+07 285 5.7411e+06 444440 -1.73776e+08 -1.10988e+08
902 14024.6 0.0031107 1487.89 13179.9 3158.91 831 4.27916e+07 1.95519e+07 292.5 5.68288e+06 438694 -1.72178e+08 -1.09967e+08
901 13981.1 0.00297019 1487.89 13155.3 3139.35 828 4.23423e+07 1.94296e+07 277.5 5.62572e+06 434581 -1.70635e+08 -1.08983e+08
900 13939.7 0.00143528 1487.89 13137.3 3121.4 824 4.1975e+07 1.92432e+07 285 5.5717e+06 427819 -1.69067e+08 -1.07981e+08
899 13919.7 0.00224775 1487.89 13094.7 3097.63 827 4.15676e+07 1.909e+07 277.5 5.51997e+06 428381 -1.67592e+08 -1.0704e+08
898 13888.5 0.00204303 1487.89 13067 3077.44 827 4.12976e+07 1.88261e+07 285 5.46553e+06 423104 -1.66089e+08 -1.06079e+08
897 13860.2 0.00138505 1487.89 12918.4 3055.87 827 4.09579e+07 1.86291e+07 277.5 5.41194e+06 419190 -1.64639e+08 -1.05151e+08
896 13841 0.00207793 1487.89 12880.5 3033.48 829 4.05835e+07 1.84847e+07 285 5.36015e+06 415176 -1.63163e+08 -1.04208e+08
895 13812.3 0.00176073 1487.89 12735.4 3012.51 829 4.02396e+07 1.83002e+07 277.5 5.30804e+06 412565 -1.61738e+08 -1.03296e+08
894 13788 0.00272256 1487.89 12703.6 2991.74 830 3.98741e+07 1.8155e+07 285 5.25649e+06 407706 -1.60287e+08 -1.02369e+08
893 13750.6 0.00204095 1487.89 12527.2 2972.91 828 3.95198e+07 1.79911e+07 277.5 5.20556e+06 404967 -1.58888e+08 -1.01473e+08
892 13722.6 0.00139533 1487.89 12352.3 2952.67 828 3.91839e+07 1.78253e+07 285 5.15537e+06 401292 -1.57462e+08 -1.00562e+08
891 13703.4 0.00191779 1487.89 12202.3 2930.31 830 3.88156e+07 1.76837e+07 277.5 5.1046e+06 398039 -1.56087e+08 -9.96822e+07
890 13677.2 0.0031499 1487.89 12171.4 2910.27 831 3.84885e+07 1.75183e+07 285 5.05513e+06 394446 -1.54687e+08 -9.8787e+07
889 13634.3 0.00267522 1487.89 12023.1 2893.14 828 3.81224e+07 1.73833e+07 277.5 5.00513e+06 390158 -1.53336e+08 -9.79233e+07
888 13597.9 0.0020176 1487.89 11845.4 2875.55 826 3.78165e+07 1.72063e+07 285 4.95744e+06 387341 -1.51961e+08 -9.70434e+07
887 13570.5 0.00132984 1487.89 11670.3 2855.47 826 3.74739e+07 1.7056e+07 277.5 4.90855e+06 384811 -1.50633e+08 -9.61943e+07
886 13552.5 0.00155203 1487.89 11497.9 2833.98 828 3.71331e+07 1.6921e+07 285 4.86028e+06 379856 -1.49282e+08 -9.53304e+07
885 13531.5 0.00333848 1487.89 11328 2812.94 830 3.68074e+07 1.67643e+07 277.5 4.81295e+06 376583 -1.47978e+08 -9.44962e+07
884 13486.5 0.00264196 1487.89 11160.6 2797.54 826 3.6502e+07 1.66031e+07 285 4.76701e+06 373698 -1.4665e+08 -9.36469e+07
883 13450.9 0.002049 1487.89 10995.6 2779.77 824 3.61808e+07 1.64487e+07 277.5 4.72004e+06 370303 -1.45369e+08 -9.28269e+07
882 13423.4 0.0020682 1487.89 10833.1 2761.15 824 3.58926e+07 1.62788e+07 285 4.67463e+06 366997 -1.44064e+08 -9.19915e+07
881 13395.7 0.00189222 1487.89 10673 2742.12 824 3.55896e+07 1.61156e+07 277.5 4.62869e+06 364204 -1.42804e+08 -9.11845e+07
880 13370.4 0.00204524 1487.89 10515.3 2723.55 824 3.52885e+07 1.59668e+07 285 4.58374e+06 357968 -1.41522e+08 -9.03631e+07
879 13343.1 0.00201512 1487.89 10363.1 2704.75 824 3.49517e+07 1.58489e+07 277.5 4.54127e+06 357636 -1.40284e+08 -8.95706e+07
878 13316.3 0.00196745 1487.89 10240.5 2686.6 824 3.46644e+07 1.56917e+07 285 4.49736e+06 354730 -1.39024e+08 -8.87636e+07
877 13290.1 0.00206135 1487.89 10207.9 2667.86 824 3.43384e+07 1.55677e+07 277.5 4.45265e+06 351285 -1.37809e+08 -8.7985e+07
876 13262.8 0.00196262 1487.89 10091 2650.04 824 3.40554e+07 1.54172e+07 285 4.40966e+06 348679 -1.36571e+08 -8.71922e+07
875 13236.8 0.00188139 1487.89 10054.7 2631.49 824 3.37024e+07 1.5328e+07 277.5 4.36565e+06 345642 -1.35377e+08 -8.64279e+07
874 13212 0.00195863 1487.89 9906.08 2613.62 824 3.34407e+07 1.5163e+07 285 4.32293e+06 340290 -1.34162e+08 -8.56494e+07
873 13186.1 0.00207138 1487.89 9759.74 2595.16 824 3.31346e+07 1.50373e+07 277.5 4.28201e+06 339280 -1.32988e+08 -8.48979e+07
872 13158.9 0.00228565 1487.89 9645.26 2577.75 824 3.27898e+07 1.49613e+07 285 4.24041e+06 335360 -1.31795e+08 -8.41345e+07
871 13128.9 0.00224041 1487.89 9616.07 2560.5 824 3.24751e+07 1.48497e+07 277.5 4.19922e+06 332482 -1.30643e+08 -8.33981e+07
870 13099.5 0.0020321 1487.89 9588.49 2543.86 824 3.22448e+07 1.46677e+07 285 4.15922e+06 330666 -1.2947e+08 -8.26472e+07
