#time1 gdp2 growth3 demand4 wages5 price6 employed7 company_capital8 consumer_capital9 interest_rate10 investments11 market_capital12 bank_capital13 total_capital14
310 7041 0.00653729 1485 146.719 49.5862 880 408985 180827 337.5 49437.4 3450.57 79454 635607
309 6995.27 0.00503493 1485 144.551 50.4477 885 410640 142062 330 49035.2 3471.87 73341.5 633919
308 6960.22 0.00926165 1485 142.415 51.2266 887 411365 145740 337.5 48665.2 3554.48 67211.9 632407
307 6896.35 0.00566741 1485 140.31 50.8539 888 411275 150366 345 48260.3 3446.66 61537.9 630990
306 6857.49 0.0053052 1485 138.236 51.7399 897 407254 158752 337.5 47911.1 3543.72 68355.1 629381
305 6821.3 0.0101223 1485 136.193 52.6841 881 407713 149769 322.5 47521.1 3539.74 62227.6 627949
304 6752.94 0.00747671 1485 134.181 49.3889 881 402871 159310 337.5 47215.8 3323.36 56259.3 626713
303 6702.83 0.0103015 1485 134.36 50.2346 879 391124 176006 330 46868.9 3329.67 89350.4 624656
302 6634.48 0.00842535 1485 132.375 50.0176 878 391749 140226 337.5 46566.4 3261.76 83748.5 622772
301 6579.05 0.00791189 1485 132.214 50.9252 881 388381 147381 322.5 46291 3299.72 88683.5 620731
300 6527.41 0.00901921 1485 130.26 51.8898 860 388988 139759 315 46026.2 3360.38 82945 618908
299 6469.06 0.000669345 1485 128.335 49.8492 860 383910 148693 322.5 45761.5 3209.29 77375.1 617248
298 6464.74 0.0104309 1485 126.438 50.3837 860 375501 161163 315 45496.5 3241.46 97558.4 615105
297 6398 0.0076167 1485 124.57 48.1454 859 373420 140885 322.5 45256.6 3009.65 92133.7 613129
296 6349.64 0.00913481 1485 126.467 48.8964 859 364701 153284 315 45082.5 3084.64 113761 610629
295 6292.16 0.00642584 1485 126.646 48.9897 860 365682 128101 330 44874.6 3086.98 108489 608302
294 6251.98 0.00956451 1485 125.57 49.6718 873 364457 132270 322.5 44654.9 3053.28 109168 605846
293 6192.75 0.00965584 1485 127.482 50.5157 873 366788 126837 330 44504.3 3109.61 103914 603563
292 6133.53 0.0102587 1485 129.424 51.3699 873 368483 128056 322.5 44332.2 3084.88 98668.8 601343
291 6071.25 0.00898521 1485 131.394 52.3331 871 370687 128903 330 44221.5 3141.26 93646.9 599286
290 6017.18 0.00898359 1485 133.395 53.2583 872 372288 130210 322.5 44097.9 3189.68 88145.1 597303
289 5963.61 0.00872575 1485 135.427 54.2127 872 374270 131698 330 43966.5 3202.53 82620.6 595487
288 5912.02 0.00909931 1485 137.489 55.1769 873 376051 133613 337.5 43865.6 3231.34 77063.5 593754
287 5858.71 0.00871604 1485 139.583 56.2007 873 378380 135079 330 43780.4 3263.51 71460.1 592109
286 5808.09 0.00867305 1485 141.708 57.2083 873 381098 136288 337.5 43707.2 3305.32 65787.8 590629
285 5758.15 0.00886014 1485 143.866 58.2636 873 383132 138404 330 43639.4 3308.95 60253.9 589242
284 5707.58 0.00797759 1485 146.057 59.3348 873 385739 139940 337.5 43611.1 3345.84 54623.7 588014
283 5662.4 0.00305621 1485 148.282 60.4691 873 388040 142004 330 43598.3 3379.3 49172.8 586882
282 5645.15 0.00773148 1485 146.09 61.3266 872 390267 144063 322.5 43603.2 3468.57 43213.8 585910
281 5601.84 0.00933892 1485 143.931 59.6973 875 389901 149326 330 43579 3300.93 37598.3 585083
280 5550.01 0.00908275 1485 146.123 60.8359 874 384481 159704 322.5 43619.3 3347.96 52081.8 583912
279 5500.05 0.00799407 1485 148.348 62.0084 873 387030 141452 337.5 43653.9 3376.07 46463.2 582891
278 5456.43 0.0068477 1485 149.474 63.1808 874 389459 143593 330 43721.1 3411.28 40704.3 581954
277 5419.32 0.00262377 1485 149.071 64.3221 876 392481 145358 337.5 43803.4 3423.88 34722.8 581173
276 5405.14 0.00866212 1485 146.868 65.2877 876 394991 148036 330 43938.6 3513.04 28841.3 580509
275 5358.72 0.00624021 1485 144.697 63.5646 876 394716 153439 337.5 44050.3 3358.24 22787.8 579996
274 5325.49 0.00664297 1485 142.61 64.648 881 388584 165267 330 44219.3 3406.45 38249 579116
273 5290.35 0.000989301 1485 140.502 65.762 883 390456 147004 337.5 44389.4 3429.1 32290.4 578390
272 5285.12 0.00911238 1485 138.426 66.6714 876 390211 152459 322.5 44603.2 3537.28 26745.4 577774
271 5237.39 0.00745543 1485 136.38 62.624 876 387927 159565 337.5 44776.1 3248.08 20855 577316
270 5198.64 0.00746618 1485 136.262 63.6884 880 378173 175040 330 45027.7 3263.52 52123.1 576116
269 5160.11 0.00511422 1485 134.248 64.8188 882 380706 140024 337.5 45308.3 3279.44 46462.3 575071
268 5133.85 0.0121821 1485 132.264 65.8595 863 381537 143792 322.5 45640.6 3352.95 40707.1 574134
267 5072.07 0.00934598 1485 130.31 61.6843 856 377550 152524 330 45954.8 3111.41 35423.1 573356
266 5025.1 0.00994418 1485 132.294 62.8017 856 366914 167907 322.5 46284.9 3100.28 67342.6 571841
265 4975.62 0.00926482 1485 134.309 63.8357 856 369720 131678 330 46663.9 3191.25 61753.9 570484
264 4929.95 0.00938543 1485 136.354 65.0179 856 372982 132557 322.5 47007.9 3133.93 57021 569201
